TRI Facility Name,TRI Facility ID,Year,Census Tract,Census Block Group,Demographic Index Percentile,Supplemental Demographic Index Percentile,People of Color Percentile,Low Income Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,Under Age 5 Percentile,Over Age 64 Percentile,ZIP Code,Street Address,City,Latitude,Longitude,Chemical,Industry Sector,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2020,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Manganese compounds (N450),327 Nonmetallic Mineral Product,173604.0,146.0,0.0,0,173458.0,443706.0,1839507984000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Styrene (100-42-5),325 Chemicals,54190.9,9063.9,0.0,0,45127.0,71326.9,227256518,0
BEKO TECHNOLOGIES CORP,3037WBKTCH9GREA,2020,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,900 GREAT SOUTHWEST PKWY SW,"ATLANTA, GA",33.73386,-84.57059,n-Hexane (110-54-3),333 Machinery,27648.0,1530.0,0.0,0,26118.0,27648.0,398812248,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Phthalic anhydride (85-44-9),325 Chemicals,18549.4,4581.4,0.0,0,13968.0,18549.4,2948241636,0
REDDY ICE-ATLANTA (449),30344SPNCR1586E,2020,13121012300,131210123002,64,77,70,43,36,90,93,41,6,30344,1578 E TAYLOR AVE,"EAST POINT, GA",33.673245,-84.440816,Ammonia (7664-41-7),3121 Beverages,12271.0,12271.0,0.0,0,0.0,12271.0,75847051,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Xylene (mixed isomers) (1330-20-7),325 Chemicals,9897.4,951.4,0.0,0,8946.0,93136.4,305879147,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Toluene (108-88-3),325 Chemicals,5426.0,5426.0,0.0,0,0.0,214462.0,3353811,0
BEKO TECHNOLOGIES CORP,3037WBKTCH9GREA,2020,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,900 GREAT SOUTHWEST PKWY SW,"ATLANTA, GA",33.73386,-84.57059,n-Butyl alcohol (71-36-3),333 Machinery,5374.0,0.0,0.0,0,5374.0,5374.0,94904840,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Barium compounds (N040),325 Chemicals,5059.0,940.0,0.0,0,4119.0,5059.0,31269679000,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Xylene (mixed isomers) (1330-20-7),325 Chemicals,3841.0,3840.0,0.0,0,1.0,747454.0,118706105,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Xylene (mixed isomers) (1330-20-7),332 Fabricated Metals,3526.0,3526.0,0.0,0,0.0,374071.0,108971030,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Zinc compounds (N982),325 Chemicals,3421.0,41.0,0.0,0,3380.0,3421.0,302074300,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Ethylbenzene (100-41-4),325 Chemicals,2349.1,207.1,0.0,0,2142.0,24826.1,2243278277,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Certain glycol ethers (N230),325 Chemicals,2230.0,2228.0,0.0,0,2.0,27105.0,354436200,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,n-Butyl alcohol (71-36-3),332 Fabricated Metals,1577.0,1577.0,0.0,0,0.0,157667.0,13924910,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Naphthalene (91-20-3),332 Fabricated Metals,1550.0,1550.0,0.0,0,0.0,155028.0,16423800000,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,"1,2,4-Trimethylbenzene (95-63-6)",332 Fabricated Metals,1510.0,1510.0,0.0,0,0.0,151047.0,77333140,0
SVC MANUFACTURING,30336QKRTS1650W,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,1650 WESTGATE PKWY,"ATLANTA, GA",33.70994,-84.59697,Peracetic acid (79-21-0),3121 Beverages,1350.0,1295.0,0.0,0,55.0,21235.0,5364225000,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Ethylbenzene (100-41-4),325 Chemicals,1268.21,1268.0,0.0,0,0.21,177768.21,996687133,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,"1,2,4-Trimethylbenzene (95-63-6)",325 Chemicals,1190.8,11.8,0.0,0,1179.0,1193.8,104710025,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2020,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Lead compounds (N420),327 Nonmetallic Mineral Product,1147.0,1.0,0.0,0,1146.0,2930.0,23294423000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Ethylene glycol (107-21-1),325 Chemicals,978.4,697.4,0.0,0,281.0,993.4,7602559,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,n-Butyl alcohol (71-36-3),325 Chemicals,940.0,940.0,0.0,0,0.0,33268.0,8300200,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2020,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Methyl isobutyl ketone (108-10-1),325 Chemicals,938.0,938.0,0.0,0,0.0,39189.0,993905,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Ethylbenzene (100-41-4),332 Fabricated Metals,832.0,832.0,0.0,0,0.0,90392.0,653843840,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Dicyclopentadiene (77-73-6),325 Chemicals,794.7,769.7,0.0,0,25.0,2211.24,12630961800,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Toluene (108-88-3),325 Chemicals,776.5,514.5,0.0,0,262.0,2803.5,3325510,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2020,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Maleic anhydride (108-31-6),325 Chemicals,657.3,657.3,0.0,0,0.0,657.3,2901979500,0
CLOROX PRODUCTS MANUFACTURING,3029WCLRXP115LA,2020,13063040308,130630403081,94,97,83,96,65,95,96,0,17,30297,115 LAKE MIRROR RD,"FOREST PARK, GA",33.62735,-84.39149,Certain glycol ethers (N230),325 Chemicals,380.28,2.83,0.0,0,377.45,4720.98,120433606,0
BRADDOCK METALLURGICAL - GA,3033WBRDDC15LAG,2020,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,1050 LAGRANGE BLVD SW,"ATLANTA, GA",33.72474,-84.59052,Ammonia (7664-41-7),332 Fabricated Metals,348.0,348.0,0.0,0,0.0,348.0,2150988,0
